"stationNo","stationName","stationCity","date","latitude","longitude","day","hours","totalRain","totalLighting"
18862,"Pozantı/Akçatekir","Adana","2021-06-01",37.3269,34.7956,"2021-06-01",12,"33,5",52
18862,"Pozantı/Akçatekir","Adana","2021-06-01",37.3269,34.7956,"2021-06-01",11,"24,0",18
18862,"Pozantı/Akçatekir","Adana","2021-06-01",37.3269,34.7956,"2021-06-01",16,"21,9",8
18862,"Pozantı/Akçatekir","Adana","2021-06-01",37.3269,34.7956,"2021-06-01",17,"11,4",2
18862,"Pozantı/Akçatekir","Adana","2021-06-01",37.3269,34.7956,"2021-06-01",15,"10,4",44
18862,"Pozantı/Akçatekir","Adana","2021-06-01",37.3269,34.7956,"2021-06-01",13,"9,6",26
18862,"Pozantı/Akçatekir","Adana","2021-06-01",37.3269,34.7956,"2021-06-01",18,"2,7",0
18862,"Pozantı/Akçatekir","Adana","2021-06-01",37.3269,34.7956,"2021-06-01",9,"2,3",10
18862,"Pozantı/Akçatekir","Adana","2021-06-01",37.3269,34.7956,"2021-06-01",8,"1,9",2
18862,"Pozantı/Akçatekir","Adana","2021-06-01",37.3269,34.7956,"2021-06-01",14,"1,9",20
18862,"Pozantı/Akçatekir","Adana","2021-06-01",37.3269,34.7956,"2021-06-01",10,"0,4",2
17979,"Yumurtalık","Adana","2020-05-02",36.9681,35.5831,"2020-05-02",19,"61,8",49
17979,"Yumurtalık","Adana","2020-05-02",36.9681,35.5831,"2020-05-02",20,"50,6",30
17979,"Yumurtalık","Adana","2020-05-02",36.9681,35.5831,"2020-05-02",21,"25,2",5
17979,"Yumurtalık","Adana","2020-05-02",36.9681,35.5831,"2020-05-02",18,"13,4",50
17979,"Yumurtalık","Adana","2020-05-02",36.9681,35.5831,"2020-05-02",22,"5,0",0
17979,"Yumurtalık","Adana","2020-05-02",36.9681,35.5831,"2020-05-02",17,"1,0",8
17979,"Yumurtalık","Adana","2020-05-02",36.9681,35.5831,"2020-05-02",23,"0,6",0
17979,"Yumurtalık","Adana","2020-05-02",36.9681,35.5831,"2020-05-02",3,"0,2",0
