"Tarih","Enlem","Boylam","YagisMiktari","YildirimAdeti"
"19.11.2022 00:00",40.911,29.1558,0.1,0
"22.09.2022 00:00",40.911,29.1558,0.1,10
"08.10.2022 00:00",40.911,29.1558,0.2,0
"20.10.2022 00:00",40.911,29.1558,0.5,0
"21.10.2022 00:00",40.911,29.1558,0.5,0
"07.10.2022 00:00",40.911,29.1558,0.6,0
"29.09.2022 00:00",40.911,29.1558,0.7,0
"01.09.2022 00:00",40.911,29.1558,1,0
"30.11.2022 00:00",40.911,29.1558,1.5,0
"15.10.2022 00:00",40.911,29.1558,1.8,0
"16.10.2022 00:00",40.911,29.1558,2,0
"23.11.2022 00:00",40.911,29.1558,2.1,0
"25.11.2022 00:00",40.911,29.1558,2.3,0
"13.09.2022 00:00",40.911,29.1558,2.9,0
"18.11.2022 00:00",40.911,29.1558,3.2,0
"24.11.2022 00:00",40.911,29.1558,3.6,0
"26.11.2022 00:00",40.911,29.1558,4.7,0
"05.09.2022 00:00",40.911,29.1558,6,0
"23.09.2022 00:00",40.911,29.1558,9.2,0
"03.10.2022 00:00",40.911,29.1558,9.3,0
"22.11.2022 00:00",40.911,29.1558,11.4,5
