"Tarih","Enlem","Boylam","YagisMiktari","YildirimAdeti"
"03.04.2022 00:00",40.911,29.1558,0.1,1
"24.05.2022 00:00",40.911,29.1558,0.1,0
"24.03.2022 00:00",40.911,29.1558,0.2,0
"20.04.2022 00:00",40.911,29.1558,0.4,0
"04.05.2022 00:00",40.911,29.1558,0.4,0
"15.03.2022 00:00",40.911,29.1558,0.5,0
"25.05.2022 00:00",40.911,29.1558,0.5,0
"18.03.2022 00:00",40.911,29.1558,0.9,7
"12.04.2022 00:00",40.911,29.1558,0.9,0
"03.03.2022 00:00",40.911,29.1558,1,0
"04.04.2022 00:00",40.911,29.1558,1.1,0
"14.03.2022 00:00",40.911,29.1558,1.5,0
"12.03.2022 00:00",40.911,29.1558,1.6,10
"21.04.2022 00:00",40.911,29.1558,1.7,0
"23.03.2022 00:00",40.911,29.1558,1.7,0
"11.04.2022 00:00",40.911,29.1558,1.8,0
"09.03.2022 00:00",40.911,29.1558,1.9,0
"03.05.2022 00:00",40.911,29.1558,2.2,0
"17.03.2022 00:00",40.911,29.1558,2.6,0
"07.03.2022 00:00",40.911,29.1558,2.8,0
"19.04.2022 00:00",40.911,29.1558,2.8,0
"08.04.2022 00:00",40.911,29.1558,4,0
"19.03.2022 00:00",40.911,29.1558,4.1,3
"04.03.2022 00:00",40.911,29.1558,5.3,0
"18.04.2022 00:00",40.911,29.1558,6.7,0
"13.03.2022 00:00",40.911,29.1558,8.4,0
"05.04.2022 00:00",40.911,29.1558,9.6,0
"11.03.2022 00:00",40.911,29.1558,10.3,1
"20.03.2022 00:00",40.911,29.1558,11,0
"19.05.2022 00:00",40.911,29.1558,17.2,0
