"Tarih","Enlem","Boylam","YagisMiktari","YildirimAdeti"
"04.04.2020 00:00",38.3949,27.0819,0.1,0
"08.04.2020 00:00",38.3949,27.0819,0.3,0
"23.05.2020 00:00",38.3949,27.0819,0.5,0
"29.03.2020 00:00",38.3949,27.0819,0.7,0
"07.04.2020 00:00",38.3949,27.0819,0.7,0
"31.05.2020 00:00",38.3949,27.0819,0.8,0
"26.05.2020 00:00",38.3949,27.0819,0.8,18
"16.03.2020 00:00",38.3949,27.0819,0.9,0
"11.03.2020 00:00",38.3949,27.0819,1.2,0
"01.05.2020 00:00",38.3949,27.0819,2.7,0
"05.04.2020 00:00",38.3949,27.0819,4.8,1
"27.03.2020 00:00",38.3949,27.0819,5,0
"10.03.2020 00:00",38.3949,27.0819,7,0
"22.05.2020 00:00",38.3949,27.0819,7.9,3
"03.04.2020 00:00",38.3949,27.0819,8.7,0
"05.05.2020 00:00",38.3949,27.0819,8.9,0
"06.03.2020 00:00",38.3949,27.0819,9.6,0
"03.05.2020 00:00",38.3949,27.0819,10.1,1
"28.05.2020 00:00",38.3949,27.0819,10.5,0
"16.04.2020 00:00",38.3949,27.0819,10.9,0
"02.04.2020 00:00",38.3949,27.0819,11.2,5
"06.04.2020 00:00",38.3949,27.0819,12.3,0
"28.03.2020 00:00",38.3949,27.0819,15.4,0
"04.05.2020 00:00",38.3949,27.0819,16.8,3
"05.03.2020 00:00",38.3949,27.0819,17.4,1
"27.05.2020 00:00",38.3949,27.0819,18,6
