"Tarih","Enlem","Boylam","YagisMiktari","YildirimAdeti"
"10.12.2020 00:00",38.3949,27.0819,0.1,4
"27.12.2020 00:00",38.3949,27.0819,0.2,0
"05.02.2020 00:00",38.3949,27.0819,0.3,2
"30.12.2020 00:00",38.3949,27.0819,0.4,0
"13.02.2020 00:00",38.3949,27.0819,0.6,0
"30.01.2020 00:00",38.3949,27.0819,0.8,10
"09.12.2020 00:00",38.3949,27.0819,1.1,0
"26.12.2020 00:00",38.3949,27.0819,1.6,0
"15.12.2020 00:00",38.3949,27.0819,2.2,0
"28.02.2020 00:00",38.3949,27.0819,3.1,9
"16.02.2020 00:00",38.3949,27.0819,3.7,0
"07.01.2020 00:00",38.3949,27.0819,4.4,0
"29.12.2020 00:00",38.3949,27.0819,5.5,0
"08.12.2020 00:00",38.3949,27.0819,6.3,0
"06.01.2020 00:00",38.3949,27.0819,6.9,0
"07.02.2020 00:00",38.3949,27.0819,7.2,0
"15.02.2020 00:00",38.3949,27.0819,9.1,0
"21.02.2020 00:00",38.3949,27.0819,10.6,0
"28.01.2020 00:00",38.3949,27.0819,12.3,0
"29.02.2020 00:00",38.3949,27.0819,14.2,0
"31.01.2020 00:00",38.3949,27.0819,14.3,0
"06.02.2020 00:00",38.3949,27.0819,19.4,4
"28.12.2020 00:00",38.3949,27.0819,27.5,22
"12.12.2020 00:00",38.3949,27.0819,39.7,0
"11.12.2020 00:00",38.3949,27.0819,41.2,1
"14.12.2020 00:00",38.3949,27.0819,51.1,0
"13.12.2020 00:00",38.3949,27.0819,60.6,0
